Number of iterations:	 1	 Error:	 1.950000	 Elapsed time:	       0.000000
Number of iterations:	 2	 Error:	 1.901250	 Elapsed time:	       0.000126
Number of iterations:	 3	 Error:	 1.355532	 Elapsed time:	       0.000185
Number of iterations:	 4	 Error:	 1.073835	 Elapsed time:	       0.000237
Number of iterations:	 5	 Error:	 0.893213	 Elapsed time:	       0.000281
Number of iterations:	 6	 Error:	 0.764199	 Elapsed time:	       0.000331
Number of iterations:	 7	 Error:	 0.665928	 Elapsed time:	       0.000378
Number of iterations:	 8	 Error:	 0.587830	 Elapsed time:	       0.000443
Number of iterations:	 9	 Error:	 0.523881	 Elapsed time:	       0.000489
Number of iterations:	 10	 Error:	 0.470347	 Elapsed time:	       0.000537
Number of iterations:	 11	 Error:	 0.424767	 Elapsed time:	       0.000588
Number of iterations:	 12	 Error:	 0.385440	 Elapsed time:	       0.000637
Number of iterations:	 13	 Error:	 0.351142	 Elapsed time:	       0.000687
Number of iterations:	 14	 Error:	 0.320966	 Elapsed time:	       0.000745
Number of iterations:	 15	 Error:	 0.294221	 Elapsed time:	       0.000796
Number of iterations:	 16	 Error:	 0.270371	 Elapsed time:	       0.000857
Number of iterations:	 17	 Error:	 0.290780	 Elapsed time:	       0.000899
Number of iterations:	 18	 Error:	 0.291564	 Elapsed time:	       0.000945
Number of iterations:	 19	 Error:	 0.287781	 Elapsed time:	       0.000997
Number of iterations:	 20	 Error:	 0.273230	 Elapsed time:	       0.001038
Number of iterations:	 21	 Error:	 0.284450	 Elapsed time:	       0.001079
Number of iterations:	 22	 Error:	 0.292502	 Elapsed time:	       0.001129
Number of iterations:	 23	 Error:	 0.287515	 Elapsed time:	       0.001170
Number of iterations:	 24	 Error:	 0.262584	 Elapsed time:	       0.001216
Number of iterations:	 25	 Error:	 0.223952	 Elapsed time:	       0.001261
Number of iterations:	 26	 Error:	 0.209553	 Elapsed time:	       0.001309
Number of iterations:	 27	 Error:	 0.194300	 Elapsed time:	       0.001350
Number of iterations:	 28	 Error:	 0.164610	 Elapsed time:	       0.001391
Number of iterations:	 29	 Error:	 0.136432	 Elapsed time:	       0.001443
Number of iterations:	 30	 Error:	 0.127879	 Elapsed time:	       0.001483
Number of iterations:	 31	 Error:	 0.116453	 Elapsed time:	       0.001527
Number of iterations:	 32	 Error:	 0.109249	 Elapsed time:	       0.001569
Number of iterations:	 33	 Error:	 0.110397	 Elapsed time:	       0.001619
Number of iterations:	 34	 Error:	 0.111634	 Elapsed time:	       0.001661
Number of iterations:	 35	 Error:	 0.104843	 Elapsed time:	       0.001707
Number of iterations:	 36	 Error:	 0.083839	 Elapsed time:	       0.001750
Number of iterations:	 37	 Error:	 0.078853	 Elapsed time:	       0.001789
Number of iterations:	 38	 Error:	 0.072004	 Elapsed time:	       0.001846
Number of iterations:	 39	 Error:	 0.069734	 Elapsed time:	       0.001890
Number of iterations:	 40	 Error:	 0.066862	 Elapsed time:	       0.001944
Number of iterations:	 41	 Error:	 0.061416	 Elapsed time:	       0.001984
Number of iterations:	 42	 Error:	 0.052426	 Elapsed time:	       0.002028
Number of iterations:	 43	 Error:	 0.047662	 Elapsed time:	       0.002073
Number of iterations:	 44	 Error:	 0.065787	 Elapsed time:	       0.002109
Number of iterations:	 45	 Error:	 0.058195	 Elapsed time:	       0.002146
Number of iterations:	 46	 Error:	 0.048102	 Elapsed time:	       0.002182
Number of iterations:	 47	 Error:	 0.038293	 Elapsed time:	       0.002225
Number of iterations:	 48	 Error:	 0.038395	 Elapsed time:	       0.002261
Number of iterations:	 49	 Error:	 0.035132	 Elapsed time:	       0.002298
Number of iterations:	 50	 Error:	 0.031874	 Elapsed time:	       0.002338
Number of iterations:	 51	 Error:	 0.045764	 Elapsed time:	       0.002374
Number of iterations:	 52	 Error:	 0.036538	 Elapsed time:	       0.002410
Number of iterations:	 53	 Error:	 0.033986	 Elapsed time:	       0.002446
Number of iterations:	 54	 Error:	 0.027753	 Elapsed time:	       0.002488
Number of iterations:	 55	 Error:	 0.024321	 Elapsed time:	       0.002524
Number of iterations:	 56	 Error:	 0.023293	 Elapsed time:	       0.002564
Number of iterations:	 57	 Error:	 0.022140	 Elapsed time:	       0.002602
Number of iterations:	 58	 Error:	 0.019838	 Elapsed time:	       0.002637
Number of iterations:	 59	 Error:	 0.020888	 Elapsed time:	       0.002674
Number of iterations:	 60	 Error:	 0.018421	 Elapsed time:	       0.002711
Number of iterations:	 61	 Error:	 0.018733	 Elapsed time:	       0.002752
Number of iterations:	 62	 Error:	 0.017486	 Elapsed time:	       0.002788
Number of iterations:	 63	 Error:	 0.017776	 Elapsed time:	       0.002831
Number of iterations:	 64	 Error:	 0.018448	 Elapsed time:	       0.002871
Number of iterations:	 65	 Error:	 0.016541	 Elapsed time:	       0.002909
Number of iterations:	 66	 Error:	 0.013442	 Elapsed time:	       0.002945
Number of iterations:	 67	 Error:	 0.012924	 Elapsed time:	       0.002981
Number of iterations:	 68	 Error:	 0.011769	 Elapsed time:	       0.003026
Number of iterations:	 69	 Error:	 0.011452	 Elapsed time:	       0.003061
Number of iterations:	 70	 Error:	 0.012948	 Elapsed time:	       0.003100
Number of iterations:	 71	 Error:	 0.013175	 Elapsed time:	       0.003135
Number of iterations:	 72	 Error:	 0.010527	 Elapsed time:	       0.003179
Number of iterations:	 73	 Error:	 0.012119	 Elapsed time:	       0.003214
Number of iterations:	 74	 Error:	 0.010584	 Elapsed time:	       0.003253
Number of iterations:	 75	 Error:	 0.010498	 Elapsed time:	       0.003293
Number of iterations:	 76	 Error:	 0.009361	 Elapsed time:	       0.003328
Number of iterations:	 77	 Error:	 0.008938	 Elapsed time:	       0.003365
Number of iterations:	 78	 Error:	 0.008726	 Elapsed time:	       0.003401
Number of iterations:	 79	 Error:	 0.007775	 Elapsed time:	       0.003449
Number of iterations:	 80	 Error:	 0.006753	 Elapsed time:	       0.003484
Number of iterations:	 81	 Error:	 0.006246	 Elapsed time:	       0.003521
Number of iterations:	 82	 Error:	 0.005937	 Elapsed time:	       0.003565
Number of iterations:	 83	 Error:	 0.006220	 Elapsed time:	       0.003601
Number of iterations:	 84	 Error:	 0.007059	 Elapsed time:	       0.003637
Number of iterations:	 85	 Error:	 0.006689	 Elapsed time:	       0.003672
Number of iterations:	 86	 Error:	 0.006127	 Elapsed time:	       0.003707
Number of iterations:	 87	 Error:	 0.005762	 Elapsed time:	       0.003742
Number of iterations:	 88	 Error:	 0.005487	 Elapsed time:	       0.003775
Number of iterations:	 89	 Error:	 0.005148	 Elapsed time:	       0.003806
Number of iterations:	 90	 Error:	 0.004510	 Elapsed time:	       0.003849
Number of iterations:	 91	 Error:	 0.004386	 Elapsed time:	       0.003880
Number of iterations:	 92	 Error:	 0.004360	 Elapsed time:	       0.003913
Number of iterations:	 93	 Error:	 0.004512	 Elapsed time:	       0.003945
Number of iterations:	 94	 Error:	 0.003595	 Elapsed time:	       0.003977
Number of iterations:	 95	 Error:	 0.003538	 Elapsed time:	       0.004010
Number of iterations:	 96	 Error:	 0.003029	 Elapsed time:	       0.004042
Number of iterations:	 97	 Error:	 0.003222	 Elapsed time:	       0.004074
Number of iterations:	 98	 Error:	 0.002785	 Elapsed time:	       0.004105
Number of iterations:	 99	 Error:	 0.003603	 Elapsed time:	       0.004138
Number of iterations:	 100	 Error:	 0.003230	 Elapsed time:	       0.004170
Number of iterations:	 101	 Error:	 0.003720	 Elapsed time:	       0.004202
Number of iterations:	 102	 Error:	 0.002972	 Elapsed time:	       0.004234
Number of iterations:	 103	 Error:	 0.002596	 Elapsed time:	       0.004266
Number of iterations:	 104	 Error:	 0.002327	 Elapsed time:	       0.004297
Number of iterations:	 105	 Error:	 0.002572	 Elapsed time:	       0.004329
Number of iterations:	 106	 Error:	 0.002113	 Elapsed time:	       0.004363
Number of iterations:	 107	 Error:	 0.001868	 Elapsed time:	       0.004395
Number of iterations:	 108	 Error:	 0.001964	 Elapsed time:	       0.004427
Number of iterations:	 109	 Error:	 0.001653	 Elapsed time:	       0.004459
Number of iterations:	 110	 Error:	 0.001528	 Elapsed time:	       0.004490
Number of iterations:	 111	 Error:	 0.001394	 Elapsed time:	       0.004527
Number of iterations:	 112	 Error:	 0.001252	 Elapsed time:	       0.004559
Number of iterations:	 113	 Error:	 0.001532	 Elapsed time:	       0.004591
Number of iterations:	 114	 Error:	 0.001555	 Elapsed time:	       0.004623
Number of iterations:	 115	 Error:	 0.001525	 Elapsed time:	       0.004654
Number of iterations:	 116	 Error:	 0.001173	 Elapsed time:	       0.004686
Number of iterations:	 117	 Error:	 0.001081	 Elapsed time:	       0.004718
Number of iterations:	 118	 Error:	 0.000972	 Elapsed time:	       0.004750
Number of iterations:	 119	 Error:	 0.000799	 Elapsed time:	       0.004782
Number of iterations:	 120	 Error:	 0.000872	 Elapsed time:	       0.004815
Number of iterations:	 121	 Error:	 0.000988	 Elapsed time:	       0.004851
Number of iterations:	 122	 Error:	 0.000753	 Elapsed time:	       0.004883
Number of iterations:	 123	 Error:	 0.000642	 Elapsed time:	       0.004915
Number of iterations:	 124	 Error:	 0.000719	 Elapsed time:	       0.004947
Number of iterations:	 125	 Error:	 0.000721	 Elapsed time:	       0.004982
Number of iterations:	 126	 Error:	 0.000724	 Elapsed time:	       0.005013
Number of iterations:	 127	 Error:	 0.000657	 Elapsed time:	       0.005046
Number of iterations:	 128	 Error:	 0.000608	 Elapsed time:	       0.005078
Number of iterations:	 129	 Error:	 0.000611	 Elapsed time:	       0.005109
Number of iterations:	 130	 Error:	 0.000643	 Elapsed time:	       0.005141
Number of iterations:	 131	 Error:	 0.000536	 Elapsed time:	       0.005173
Number of iterations:	 132	 Error:	 0.000479	 Elapsed time:	       0.005205
Number of iterations:	 133	 Error:	 0.000508	 Elapsed time:	       0.005236
Number of iterations:	 134	 Error:	 0.000431	 Elapsed time:	       0.005268
Number of iterations:	 135	 Error:	 0.000486	 Elapsed time:	       0.005300
Number of iterations:	 136	 Error:	 0.000425	 Elapsed time:	       0.005331
